location,total_sqft,bhk,bath,balcony,age_years,furnishing,parking,price_lakhs
HSR Layout,1544,3,4,0,0.7,Unfurnished,1,134.15
Sarjapur Road,1154,2,2,2,6.9,Semi-Furnished,1,69.49
Indiranagar,746,2,3,2,0.9,Unfurnished,1,72.76
Koramangala,917,2,2,2,6.6,Semi-Furnished,0,90.53
Electronic City,1450,3,3,2,6.3,Furnished,1,64.58
BTM Layout,1605,3,3,4,10.0,Furnished,1,128.47
BTM Layout,1425,2,1,1,0.9,Furnished,1,115.53
Koramangala,1016,2,2,2,9.2,Unfurnished,1,85.78
Yelahanka,1289,3,2,1,40.0,Unfurnished,1,40.07
JP Nagar,1110,2,2,3,11.4,Furnished,1,87.68
Jayanagar,1698,3,4,1,8.4,Unfurnished,1,135.79
Jayanagar,1516,3,3,3,6.5,Unfurnished,0,115.84
Koramangala,1364,3,3,1,3.3,Semi-Furnished,1,148.07
Electronic City,1644,3,2,1,7.9,Unfurnished,1,60.32
BTM Layout,2200,4,4,1,7.7,Furnished,1,164.11
BTM Layout,896,2,3,1,6.0,Semi-Furnished,0,70.21
Yelahanka,1557,3,3,2,9.5,Semi-Furnished,1,83.19
Koramangala,1650,3,2,0,3.6,Furnished,1,208.7
Koramangala,1227,2,3,0,0.8,Unfurnished,0,131.19
Hebbal,590,1,1,3,4.9,Semi-Furnished,0,43.62
BTM Layout,996,2,1,4,1.8,Unfurnished,0,62.42
BTM Layout,1234,2,1,1,2.9,Semi-Furnished,1,93.63
JP Nagar,1318,3,3,1,0.1,Unfurnished,1,90.88
Yelahanka,2166,4,4,3,2.9,Semi-Furnished,0,101.21
Electronic City,844,2,3,0,9.9,Furnished,1,41.91
Indiranagar,1210,2,2,1,4.7,Unfurnished,0,117.96
BTM Layout,2761,5,5,1,0.1,Unfurnished,1,195.28
Marathahalli,790,1,1,3,3.8,Unfurnished,1,49.76
Whitefield,1124,2,3,0,2.1,Unfurnished,1,69.0
Electronic City,1317,3,3,3,3.9,Unfurnished,0,50.67
Yelahanka,1714,3,3,0,3.1,Furnished,1,90.97
Whitefield,833,1,2,2,16.1,Semi-Furnished,1,51.66
Indiranagar,732,1,1,0,0.3,Semi-Furnished,1,78.62
Jayanagar,486,1,1,1,6.9,Semi-Furnished,1,44.29
Hebbal,1454,3,4,2,11.4,Unfurnished,1,76.44
Yelahanka,1522,3,3,1,19.2,Unfurnished,0,62.89
Indiranagar,944,2,3,0,1.2,Semi-Furnished,0,94.34
Hebbal,1754,3,2,3,4.5,Semi-Furnished,0,110.41
Koramangala,1522,3,4,0,0.3,Unfurnished,1,163.57
Koramangala,300,1,1,0,4.1,Unfurnished,1,33.13
Hebbal,1101,2,2,2,0.8,Unfurnished,1,88.32
Yelahanka,1448,3,4,0,10.9,Unfurnished,1,68.44
JP Nagar,1039,2,3,0,0.7,Unfurnished,1,74.99
Yelahanka,995,2,1,2,4.3,Semi-Furnished,1,49.01
Marathahalli,1621,3,2,4,4.4,Furnished,1,114.73
Electronic City,2268,4,4,1,21.4,Unfurnished,1,76.38
HSR Layout,1542,3,3,0,6.4,Semi-Furnished,0,145.11
Koramangala,1449,3,3,0,2.0,Unfurnished,1,154.36
Koramangala,1494,3,3,1,1.7,Semi-Furnished,0,164.42
Sarjapur Road,1053,2,2,0,0.8,Semi-Furnished,1,56.49
HSR Layout,1380,3,3,2,8.5,Furnished,1,135.43
BTM Layout,1137,2,2,1,7.0,Unfurnished,0,66.5
Yelahanka,1119,2,2,0,5.6,Unfurnished,1,51.16
JP Nagar,1731,3,4,1,0.3,Semi-Furnished,0,145.76
Jayanagar,1688,3,3,4,8.6,Unfurnished,1,145.6
Marathahalli,947,2,3,0,6.2,Unfurnished,1,54.27
Jayanagar,2223,4,4,1,19.9,Unfurnished,1,153.03
Indiranagar,457,1,2,1,5.3,Semi-Furnished,1,52.92
Hebbal,1154,2,1,1,2.2,Unfurnished,1,75.77
Koramangala,523,1,2,0,2.9,Furnished,1,60.04
Whitefield,1347,3,3,3,1.2,Unfurnished,1,84.39
Yelahanka,1542,3,4,0,7.7,Unfurnished,1,76.04
Indiranagar,649,2,3,1,7.4,Semi-Furnished,0,61.47
Sarjapur Road,1237,3,3,2,1.3,Unfurnished,1,69.23
Sarjapur Road,1023,2,2,2,1.0,Semi-Furnished,1,63.46
BTM Layout,1512,3,3,1,0.5,Semi-Furnished,1,118.38
HSR Layout,995,2,1,0,14.6,Semi-Furnished,1,89.65
Whitefield,813,2,1,3,1.6,Semi-Furnished,0,48.49
BTM Layout,1977,4,5,2,2.5,Unfurnished,1,147.04
HSR Layout,1109,2,1,2,2.0,Furnished,0,113.46
Sarjapur Road,1137,2,2,3,3.2,Semi-Furnished,1,64.98
Sarjapur Road,1498,3,3,3,7.5,Unfurnished,1,77.72
BTM Layout,2974,5,5,1,12.3,Unfurnished,0,183.75
Koramangala,1110,2,2,3,1.2,Unfurnished,1,104.82
HSR Layout,488,1,1,1,7.0,Unfurnished,1,40.28
JP Nagar,1008,2,3,2,2.6,Semi-Furnished,1,81.79
Koramangala,1290,3,3,0,23.6,Unfurnished,1,100.51
Indiranagar,1034,2,1,1,2.1,Furnished,1,113.38
Jayanagar,1667,3,3,3,0.0,Unfurnished,1,165.89
Sarjapur Road,2903,5,5,1,4.3,Unfurnished,0,139.4
Hebbal,1260,2,2,0,1.0,Unfurnished,1,84.75
Marathahalli,1005,2,2,3,0.3,Unfurnished,1,54.98
Electronic City,1252,2,1,0,7.2,Furnished,1,60.32
Marathahalli,571,1,1,0,7.9,Semi-Furnished,1,31.73
Sarjapur Road,2321,4,3,0,3.7,Unfurnished,1,124.34
Indiranagar,1047,2,3,1,6.8,Furnished,1,111.81
Jayanagar,1156,2,1,1,4.6,Furnished,1,120.32
BTM Layout,1721,3,3,2,6.0,Semi-Furnished,1,127.7
Hebbal,1021,2,1,1,5.4,Furnished,1,74.68
Hebbal,1533,3,4,0,6.6,Semi-Furnished,1,118.02
Hebbal,793,1,1,1,1.3,Semi-Furnished,1,55.09
HSR Layout,1480,3,2,3,1.9,Unfurnished,1,118.79
Koramangala,1902,4,4,1,3.5,Unfurnished,1,196.07
JP Nagar,1821,3,3,2,3.5,Semi-Furnished,1,162.25
JP Nagar,2030,4,4,3,8.9,Furnished,1,145.28
BTM Layout,1074,2,1,2,2.7,Semi-Furnished,1,73.85
BTM Layout,1223,2,1,1,1.1,Furnished,1,108.06
Jayanagar,1409,3,4,0,1.7,Unfurnished,0,111.02
Jayanagar,1349,3,3,4,1.5,Semi-Furnished,0,123.09
JP Nagar,1088,2,2,0,7.9,Semi-Furnished,0,74.61
Yelahanka,781,2,2,1,3.8,Semi-Furnished,1,41.23
Hebbal,1007,2,2,2,7.4,Semi-Furnished,1,80.0
JP Nagar,1087,2,1,1,3.2,Unfurnished,1,72.68
BTM Layout,1010,2,1,3,13.2,Unfurnished,1,69.47
Koramangala,1268,3,4,1,24.6,Furnished,1,136.22
HSR Layout,1289,2,2,1,6.6,Unfurnished,1,100.09
Electronic City,616,1,1,0,12.0,Semi-Furnished,0,26.25
Marathahalli,1715,3,2,1,4.3,Unfurnished,1,96.94
Whitefield,1461,3,2,0,16.4,Unfurnished,1,77.05
Jayanagar,1968,4,3,2,10.7,Semi-Furnished,0,163.12
Jayanagar,1540,3,3,1,28.8,Semi-Furnished,1,106.48
Koramangala,1018,2,2,1,5.9,Furnished,0,117.32
Marathahalli,1323,3,2,1,9.1,Unfurnished,0,69.86
Whitefield,1720,3,3,2,4.7,Semi-Furnished,1,113.47
Whitefield,507,1,2,1,1.8,Furnished,1,32.4
JP Nagar,1224,3,3,1,2.6,Furnished,0,111.03
HSR Layout,2299,4,4,1,13.5,Furnished,1,203.55
Indiranagar,974,2,2,2,0.3,Semi-Furnished,0,105.01
Jayanagar,959,2,2,0,5.4,Unfurnished,1,78.69
JP Nagar,785,2,2,3,2.8,Unfurnished,1,52.31
Indiranagar,1311,2,2,1,2.9,Furnished,1,154.82
Marathahalli,857,2,1,0,13.0,Furnished,1,49.28
Electronic City,1509,3,3,1,11.5,Semi-Furnished,0,66.8
Whitefield,737,1,2,1,5.5,Unfurnished,0,39.61
Jayanagar,2163,4,4,3,1.9,Semi-Furnished,0,168.9
Jayanagar,1491,3,4,2,3.9,Unfurnished,1,139.14
Yelahanka,1245,3,2,0,3.1,Semi-Furnished,1,66.29
Hebbal,1379,3,3,0,2.6,Unfurnished,0,95.96
Sarjapur Road,628,1,1,2,0.7,Furnished,0,37.42
Jayanagar,932,2,1,3,4.7,Unfurnished,1,66.36
Koramangala,1531,3,4,0,2.2,Semi-Furnished,0,188.82
JP Nagar,1602,3,4,0,6.5,Unfurnished,1,115.94
Koramangala,1644,3,3,0,2.3,Semi-Furnished,1,191.24
HSR Layout,866,2,2,0,3.4,Semi-Furnished,1,87.1
Electronic City,2429,4,3,1,0.3,Furnished,1,121.96
Whitefield,1165,2,2,0,29.4,Unfurnished,0,52.5
Sarjapur Road,2100,4,4,0,4.3,Unfurnished,1,126.59
JP Nagar,2963,5,4,0,0.1,Semi-Furnished,1,238.88
Hebbal,1405,2,1,2,4.7,Unfurnished,1,100.43
HSR Layout,1284,3,3,0,12.3,Unfurnished,1,91.18
Indiranagar,566,1,1,1,8.9,Semi-Furnished,1,60.51
Indiranagar,693,2,1,0,7.2,Semi-Furnished,0,59.87
Koramangala,1529,3,4,4,0.9,Unfurnished,1,175.85
Jayanagar,1555,3,3,1,6.4,Unfurnished,1,129.26
Hebbal,2094,4,4,1,8.7,Furnished,1,159.11
Yelahanka,1402,3,2,1,5.1,Semi-Furnished,0,69.23
Koramangala,743,2,2,1,13.4,Unfurnished,1,69.12
Sarjapur Road,1556,3,3,1,1.9,Unfurnished,0,77.99
Hebbal,2318,4,4,3,1.7,Semi-Furnished,0,163.06
Jayanagar,511,1,1,1,12.2,Unfurnished,1,45.4
Marathahalli,2866,5,5,0,5.9,Furnished,1,204.77
HSR Layout,365,1,2,2,0.0,Semi-Furnished,1,34.56
Koramangala,1569,3,3,0,2.6,Semi-Furnished,1,179.31
Koramangala,991,2,2,1,11.7,Furnished,1,113.19
Hebbal,936,2,2,1,0.2,Unfurnished,1,64.47
Whitefield,936,2,2,1,0.0,Unfurnished,1,52.5
Electronic City,1441,3,3,0,2.0,Semi-Furnished,0,66.33
Whitefield,1107,2,1,2,14.7,Semi-Furnished,0,64.81
Whitefield,403,1,2,0,13.9,Unfurnished,0,19.95
BTM Layout,1440,3,3,0,4.4,Unfurnished,1,113.34
Hebbal,2094,4,4,2,4.8,Unfurnished,1,155.26
Jayanagar,885,2,1,3,2.4,Unfurnished,1,76.86
Electronic City,1319,2,1,0,1.7,Semi-Furnished,1,56.08
Jayanagar,922,2,1,0,10.1,Semi-Furnished,1,80.25
Jayanagar,500,1,2,3,0.7,Unfurnished,1,44.1
Indiranagar,1353,3,4,1,4.0,Unfurnished,0,131.47
HSR Layout,1770,3,3,1,6.0,Unfurnished,1,171.38
HSR Layout,1583,3,3,0,0.7,Unfurnished,1,142.29
Marathahalli,910,2,2,1,4.4,Unfurnished,1,58.46
Yelahanka,1666,3,3,1,5.2,Unfurnished,1,81.98
Whitefield,1530,3,3,3,8.1,Unfurnished,0,81.3
HSR Layout,1539,3,4,4,1.6,Semi-Furnished,1,178.9
Marathahalli,1448,3,2,1,2.1,Semi-Furnished,1,94.75
Jayanagar,1388,3,3,3,5.1,Unfurnished,1,109.93
BTM Layout,1551,3,3,1,24.5,Furnished,1,106.21
Yelahanka,968,2,2,1,1.5,Furnished,0,56.58
Indiranagar,2373,4,4,1,25.6,Furnished,1,217.67
Electronic City,1310,3,2,1,7.5,Furnished,0,61.6
Yelahanka,1730,3,4,1,10.5,Semi-Furnished,1,82.16
Whitefield,1033,2,3,1,0.6,Semi-Furnished,1,60.25
Marathahalli,1545,3,2,2,2.1,Unfurnished,1,89.13
Sarjapur Road,1625,3,4,1,0.4,Semi-Furnished,0,97.3
Marathahalli,955,2,2,3,2.8,Semi-Furnished,1,60.89
HSR Layout,730,1,1,1,23.9,Semi-Furnished,1,56.0
Yelahanka,1094,3,3,2,0.7,Semi-Furnished,0,51.1
HSR Layout,1392,3,3,1,5.0,Unfurnished,0,109.65
Jayanagar,1361,3,2,0,0.0,Semi-Furnished,1,134.61
Sarjapur Road,862,2,3,0,7.5,Unfurnished,0,42.55
HSR Layout,1468,3,4,0,1.3,Semi-Furnished,0,136.47
Sarjapur Road,658,1,1,0,0.8,Furnished,1,42.38
BTM Layout,1155,2,1,1,2.5,Furnished,0,88.16
Indiranagar,1086,2,3,0,8.8,Semi-Furnished,1,104.55
Whitefield,950,2,3,1,0.7,Unfurnished,1,54.58
Electronic City,1105,2,2,1,1.6,Furnished,1,61.74
Whitefield,1069,2,2,2,0.1,Unfurnished,0,64.9
Electronic City,740,1,2,2,20.7,Furnished,1,35.3
Yelahanka,1167,2,2,1,5.4,Unfurnished,1,61.39
Electronic City,1505,3,3,2,7.6,Unfurnished,1,51.59
Koramangala,915,2,3,0,6.3,Semi-Furnished,1,103.98
JP Nagar,952,2,2,1,0.9,Semi-Furnished,1,73.3
Whitefield,2018,4,3,0,5.4,Unfurnished,1,125.57
JP Nagar,1003,2,2,0,0.8,Semi-Furnished,0,73.47
Koramangala,1540,3,3,0,3.1,Semi-Furnished,1,159.36
Electronic City,707,1,1,0,5.0,Unfurnished,1,26.67
Hebbal,592,1,1,1,4.9,Semi-Furnished,1,41.9
Yelahanka,1502,3,2,0,0.8,Unfurnished,1,79.27
BTM Layout,1521,3,3,0,0.2,Semi-Furnished,1,119.8
Hebbal,2023,4,4,3,9.6,Unfurnished,1,119.18
JP Nagar,1361,3,3,2,7.8,Semi-Furnished,1,118.75
Koramangala,1837,4,5,4,0.5,Unfurnished,1,206.97
Indiranagar,496,1,2,1,0.8,Unfurnished,0,50.35
Hebbal,671,1,1,1,13.4,Semi-Furnished,1,49.14
JP Nagar,495,1,1,2,8.8,Semi-Furnished,1,32.94
Sarjapur Road,1014,2,1,0,33.4,Furnished,1,46.1
HSR Layout,1570,3,4,2,1.8,Furnished,1,180.27
HSR Layout,1578,3,3,1,4.0,Semi-Furnished,1,142.41
JP Nagar,438,1,2,1,1.6,Semi-Furnished,1,34.98
Koramangala,2250,4,4,0,5.8,Unfurnished,1,226.37
BTM Layout,2269,4,3,2,0.7,Unfurnished,1,147.43
BTM Layout,881,2,1,1,0.8,Unfurnished,1,61.23
HSR Layout,476,1,1,0,0.4,Furnished,0,52.42
Hebbal,1229,2,2,1,7.1,Unfurnished,0,81.63
Hebbal,1028,2,2,2,4.1,Semi-Furnished,0,77.55
Electronic City,717,2,2,1,5.8,Unfurnished,0,30.75
BTM Layout,1290,3,3,1,12.7,Unfurnished,1,85.53
Jayanagar,1013,2,1,0,8.1,Unfurnished,1,82.64
JP Nagar,876,2,2,3,3.7,Semi-Furnished,0,67.27
Koramangala,2738,5,6,0,24.9,Unfurnished,1,226.83
BTM Layout,1505,3,2,2,3.7,Semi-Furnished,1,105.03
HSR Layout,2319,4,4,0,0.7,Semi-Furnished,1,216.93
Whitefield,1006,2,2,1,29.5,Semi-Furnished,0,47.05
BTM Layout,1211,2,2,1,0.1,Semi-Furnished,0,86.03
Electronic City,1714,3,2,2,4.8,Semi-Furnished,1,80.0
Koramangala,815,1,2,0,2.2,Semi-Furnished,1,94.89
Sarjapur Road,643,1,2,4,4.2,Unfurnished,0,34.97
Sarjapur Road,1206,3,2,1,4.9,Furnished,1,78.68
Marathahalli,1569,3,3,0,1.6,Unfurnished,1,97.76
Yelahanka,1207,2,2,4,4.9,Unfurnished,1,57.86
HSR Layout,1038,2,2,2,8.5,Unfurnished,1,94.79
Koramangala,1312,2,3,2,1.9,Semi-Furnished,1,156.45
Koramangala,729,1,2,2,2.9,Unfurnished,1,83.14
Yelahanka,1135,2,3,1,1.9,Semi-Furnished,1,68.41
Hebbal,1213,2,2,4,10.3,Semi-Furnished,1,87.14
JP Nagar,650,1,2,0,7.7,Semi-Furnished,1,50.68
JP Nagar,1726,4,4,1,12.3,Unfurnished,1,117.32
Electronic City,1425,3,3,1,1.1,Semi-Furnished,1,64.44
